Name,Version,Region,Country,City,Success,SystemVersion,SystemVersionNumber,SystemVersionOS
iris-cron-task,2.0.1,Texas,US,San Antonio,1,IRIS for UNIX (Ubuntu Server LTS for x86-64 Containers) 2022.3 (Build 606U) Mon Jan 30 2023 09:27:12 EST,2022.3,UNIX
mdx2json,3.2.23,Texas,US,San Antonio,1,IRIS for UNIX (Ubuntu Server LTS for x86-64 Containers) 2022.3 (Build 606U) Mon Jan 30 2023 09:27:12 EST,2022.3,UNIX
dsw,3.1.87,Texas,US,San Antonio,1,IRIS for UNIX (Ubuntu Server LTS for x86-64 Containers) 2022.3 (Build 606U) Mon Jan 30 2023 09:27:12 EST,2022.3,UNIX
webterminal,4.9.6,Texas,US,San Antonio,1,IRIS for UNIX (Ubuntu Server LTS for x86-64 Containers) 2022.3 (Build 606U) Mon Jan 30 2023 09:27:12 EST,2022.3,UNIX
isc.json,2.0.0,New South Wales,AU,Parramatta,1,IRIS for Windows (x86-64) 2023.1 (Build 228U) Fri Apr 7 2023 11:16:02 EDT,2023.1,Windows
isc.ipm.js,1.1.2,New South Wales,AU,Parramatta,1,IRIS for Windows (x86-64) 2023.1 (Build 228U) Fri Apr 7 2023 11:16:02 EDT,2023.1,Windows
isc.rest,1.2.1,New South Wales,AU,Parramatta,1,IRIS for Windows (x86-64) 2023.1 (Build 228U) Fri Apr 7 2023 11:16:02 EDT,2023.1,Windows
isc.perf.ui,1.0.1,New South Wales,AU,Parramatta,1,IRIS for Windows (x86-64) 2023.1 (Build 228U) Fri Apr 7 2023 11:16:02 EDT,2023.1,Windows
restforms2,1.0.8,Lombardy,IT,Varese,1,IRIS for Windows (x86-64) 2020.1 (Build 217_1U) Tue May 26 2020 20:41:06 EDT,2020.1,Windows
restforms2-ui,1.0.0,Lombardy,IT,Varese,1,IRIS for Windows (x86-64) 2020.1 (Build 217_1U) Tue May 26 2020 20:41:06 EDT,2020.1,Windows
csvgen,1.4.1,K'alak'i T'bilisi,GE,Tbilisi,1,IRIS for UNIX (Ubuntu Server LTS for ARM64 Containers) 2022.2 (Build 368U) Fri Oct 21 2022 16:39:41 EDT,2022.2,UNIX
